MSN,YYYYMM,Value,Column_Order,Description,Unit
GERCBUS,198810,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198811,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198812,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198813,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198901,0.425,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198902,0.384,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198903,0.425,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198904,0.411,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198905,0.425,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198906,0.411,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198907,0.425,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198908,0.425,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198909,0.411,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198910,0.425,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198911,0.411,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198912,0.425,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198913,5,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199001,0.467,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199002,0.422,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199003,0.467,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199004,0.452,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199005,0.467,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199006,0.452,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199007,0.467,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199008,0.467,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199009,0.452,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199010,0.467,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199011,0.452,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199012,0.467,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199013,5.5,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199101,0.501,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199102,0.453,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199103,0.501,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199104,0.485,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199105,0.501,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199106,0.485,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199107,0.501,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199108,0.501,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199109,0.485,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199110,0.501,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199111,0.485,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199112,0.501,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199113,5.9,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199201,0.542,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,199202,0.507,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
